行 13: 控件 Adodc1 的类 MSAdodcLib.Adodc 不是一个已加载的控件类。
行 19: 属性名 _ExtentX 在 Adodc1 中是无效的。
行 20: 属性名 _ExtentY 在 Adodc1 中是无效的。
行 21: 属性名 ConnectMode 在 Adodc1 中是无效的。
行 22: 属性名 CursorLocation 在 Adodc1 中是无效的。
行 23: 属性名 IsolationLevel 在 Adodc1 中是无效的。
行 24: 属性名 ConnectionTimeout 在 Adodc1 中是无效的。
行 25: 属性名 CommandTimeout 在 Adodc1 中是无效的。
行 26: 属性名 CursorType 在 Adodc1 中是无效的。
行 27: 属性名 LockType 在 Adodc1 中是无效的。
行 28: 属性名 CommandType 在 Adodc1 中是无效的。
行 29: 属性名 CursorOptions 在 Adodc1 中是无效的。
行 30: 属性名 CacheSize 在 Adodc1 中是无效的。
行 31: 属性名 MaxRecords 在 Adodc1 中是无效的。
行 32: 属性名 BOFAction 在 Adodc1 中是无效的。
行 33: 属性名 EOFAction 在 Adodc1 中是无效的。
行 34: 属性名 ConnectStringType 在 Adodc1 中是无效的。
行 38: 属性名 Orientation 在 Adodc1 中是无效的。
行 40: 属性名 Connect 在 Adodc1 中是无效的。
行 41: 属性名 OLEDBString 在 Adodc1 中是无效的。
行 42: 属性名 OLEDBFile 在 Adodc1 中是无效的。
行 43: 属性名 DataSourceName 在 Adodc1 中是无效的。
行 44: 属性名 OtherAttributes 在 Adodc1 中是无效的。
行 45: 属性名 UserName 在 Adodc1 中是无效的。
行 46: 属性名 Password 在 Adodc1 中是无效的。
行 47: 属性名 RecordSource 在 Adodc1 中是无效的。
行 48: 属性名 Caption 在 Adodc1 中是无效的。
行 58: 属性名 _Version 在 Adodc1 中是无效的。
